Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
		33	100		1.091000	
		57	200		0.906000	
		78	300		0.865000	
		92	400		0.736000	
		115	500		0.726000	
		121	600		0.626000	
		128	700		0.565000	
		137	800		0.518000	
		140	900		0.471000	
		148	1000		0.443000	
		150	1100		0.341000	
		152	1200		0.274000	
		154	1300		0.201000	
		154	1400		0.169000	
		158	1500		0.110000	
		159	1600		0.099000	
		159	1700		0.079000	
		160	1800		0.063000	
		160	1900		0.053000	
		161	2000		0.037000	
		162	2100		0.031000	
		162	2200		0.026000	
		162	2300		0.020000	
		162	2400		0.018000	
		162	2500		0.008000	
Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
engFineTuned	1.091000	33	100			
engFineTuned	0.906000	57	200			
engFineTuned	0.865000	78	300			
engFineTuned	0.736000	92	400			
engFineTuned	0.626000	121	600			
engFineTuned	0.565000	128	700			
engFineTuned	0.518000	137	800			
engFineTuned	0.471000	140	900			
engFineTuned	0.443000	148	1000			
engFineTuned	0.341000	150	1100			
engFineTuned	0.274000	152	1200			
engFineTuned	0.201000	154	1300			
engFineTuned	0.169000	154	1400			
engFineTuned	0.110000	158	1500			
engFineTuned	0.099000	159	1600			
engFineTuned	0.079000	159	1700			
engFineTuned	0.063000	160	1800			
engFineTuned	0.053000	160	1900			
engFineTuned	0.037000	161	2000			
engFineTuned	0.031000	162	2100			
engFineTuned	0.026000	162	2200			
engFineTuned	0.020000	162	2300			
engFineTuned	0.018000	162	2400			
engFineTuned	0.008000	162	2500			
Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
		57	200	0.143680		
		78	300	0.183864		
		92	400	0.158424		
		121	600	0.279372		
		128	700	0.212569		
		137	800	0.196154		
		140	900	0.239472		
		148	1000	0.313956		
		150	1100	0.398935		
		152	1200	0.327766		
		154	1300	0.262547		
		154	1400	0.290463		
		158	1500	0.331053		
		159	1600	0.357067		
		159	1700	0.314252		
		160	1800	0.330171		
		160	1900	0.330262		
		161	2000	0.345249		
		162	2100	0.422819		
		162	2200	0.357165		
		162	2300	0.264954		
		162	2400	0.290604		
		162	2500	0.446726		
Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
		57	200	0.36		
		78	300	0.34		
		92	400	0.36		
		121	600	0.42		
		128	700	0.37		
		137	800	0.37		
		140	900	0.37		
		148	1000	0.42		
		150	1100	0.44		
		152	1200	0.42		
		154	1300	0.40		
		154	1400	0.38		
		158	1500	0.42		
		159	1600	0.48		
		159	1700	0.41		
		160	1800	0.38		
		160	1900	0.36		
		161	2000	0.42		
		162	2100	0.50		
		162	2200	0.42		
		162	2300	0.37		
		162	2400	0.40		
		162	2500	0.42		
Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	SubtrainerCER
		57	200	 99.64		
		78	300	 99.66		
		92	400	 99.64		
		121	600	 99.58		
		128	700	 99.63		
		137	800	 99.63		
		140	900	 99.63		
		148	1000	 99.58		
		150	1100	 99.56		
		152	1200	 99.58		
		154	1300	 99.60		
		154	1400	 99.62		
		158	1500	 99.58		
		159	1600	 99.52		
		159	1700	 99.59		
		160	1800	 99.62		
		160	1900	 99.64		
		161	2000	 99.59		
		162	2100	 99.50		
		162	2200	 99.58		
		162	2300	 99.63		
		162	2400	 99.62		
		162	2500	 99.58		
